format,impl,op,ns_per_elem,elems_per_s,rel_time,agree,n,reps,seconds
fp32,cpu-hw,sqrt,0.1559,6413080098,0.000,1048576,1048576,943,0.1542
fp32,libcft,add,138.2513,7233205,1.000,4194304,4194304,1,0.5799
fp32,mpfr,add,17.3023,57795869,0.125,4194304,4194304,3,0.2177
fp32,mpfr+754,add,26.8351,37264650,0.194,4194304,4194304,2,0.2251
fp32,cpu-hw,add,0.1689,5919025415,0.001,4194304,4194304,215,0.1524
fp32,libcft,mul,109.8576,9102696,1.000,4194304,4194304,1,0.4608
fp32,mpfr,mul,12.0382,83069233,0.110,4194304,4194304,3,0.1515
fp32,mpfr+754,mul,22.8447,43773883,0.208,4194304,4194304,2,0.1916
fp32,cpu-hw,mul,0.1635,6114645235,0.001,4194304,4194304,232,0.1591
fp32,libcft,fma,118.0341,8472126,1.000,4194304,4194304,1,0.4951
fp32,mpfr,fma,31.7101,31535646,0.269,4194304,4194304,1,0.1330
fp32,mpfr+754,fma,42.3205,23629216,0.359,4194304,4194304,1,0.1775
fp32,cpu-hw,fma,0.2225,4493725188,0.002,4194304,4194304,168,0.1568
fp32,libcft,div,1970.6366,507450,1.000,4194304,4194304,1,8.2654
fp32,mpfr,div,18.2312,54851165,0.009,4194304,4194304,2,0.1529
fp32,mpfr+754,div,27.2664,36675198,0.014,4194304,4194304,2,0.2287
fp32,cpu-hw,div,0.1605,6230881002,0.000,4194304,4194304,230,0.1548
fp32,libcft,sqrt,2432.9674,411021,1.000,4194304,4194304,1,10.2046
fp32,mpfr,sqrt,22.5554,44335377,0.009,4194304,4194304,2,0.1892
fp32,mpfr+754,sqrt,31.5042,31741846,0.013,4194304,4194304,1,0.1321
fp32,cpu-hw,sqrt,0.1618,6181051044,0.000,4194304,4194304,228,0.1547
fp64,libcft,add,143.8807,6950202,1.000,1,1,2179361,0.3136
fp64,mpfr,add,8.8558,112920094,0.062,1,1,1048576,0.0093
fp64,mpfr+754,add,19.1612,52188732,0.133,1,1,4194304,0.0804
fp64,cpu-hw,add,1.8152,550903527,0.013,1,1,16777216,0.0305
fp64,libcft,mul,107.6850,9286342,1.000,1,1,2955694,0.3183
fp64,mpfr,mul,8.1098,123307482,0.075,1,1,4194304,0.0340
fp64,mpfr+754,mul,20.3450,49152192,0.189,1,1,4194304,0.0853
fp64,cpu-hw,mul,1.8121,551845798,0.017,1,1,16777216,0.0304
fp64,libcft,fma,118.9427,8407409,1.000,1,1,2688370,0.3198
fp64,mpfr,fma,17.5037,57130653,0.147,1,1,1048576,0.0184
